cardboardlow, cardboardlow, 1111, 92, 416, 125, 266
cardboardlow, cardboardlow, 1140, 111, 336, 140, 283
cardboardlow, cardboardlow, 1428, 98, 183, 110, 191
cardboardlow, cardboardlow, 1257, 116, 245, 160, 232
cardboardlow, cardboardlow, 1214, 119, 273, 153, 251
cardboardlow, cardboardlow, 1415, 103, 183, 112, 197
cardboardlow, cardboardlow, 1396, 101, 189, 126, 198
cardboardlow, cardboardlow, 1395, 103, 186, 120, 206
cardboardlow, cardboardlow, 1378, 111, 193, 111, 217
cardboardlow, cardboardlow, 1383, 104, 186, 121, 216
cardboardlow, cardboardlow, 1257, 124, 235, 130, 264
cardboardlow, cardboardlow, 1267, 125, 237, 124, 257
cardboardlow, cardboardlow, 1383, 106, 184, 134, 203
cardboardlow, cardboardlow, 1181, 126, 288, 158, 257
cardboardlow, cardboardlow, 1207, 132, 257, 181, 233
cardboardlow, cardboardlow, 1378, 114, 185, 137, 196
cardboardlow, cardboardlow, 1277, 128, 225, 131, 249
cardboardlow, cardboardlow, 1374, 120, 191, 122, 203
cardboardlow, cardboardlow, 1353, 121, 194, 151, 191
cardboardlow, cardboardlow, 1210, 138, 243, 150, 269
